feature,importance
N_doors,0.40436718
Payment,0.13947836
Value_vehicle,0.06906106
Year_matriculation,0.068713
Type_risk,0.06510282
Weight,0.06252956
Second_driver,0.050182573
R_Claims_history,0.033450756
Power,0.033312436
Cylinder_capacity,0.024040412
N_claims_history,0.02002801
Length,0.019584067
Type_fuel,0.0101497825
