feature,importance
cena_direktno_prethodne,8.749655265738681
doors_total_size,5.309250029418869
doors_value_interaction,5.294877963972031
total_size,5.241557531374044
Value_vehicle,4.379472262568445
doors_year_interaction,4.37891590540299
min_prethodni,4.065809506664279
car_age_log,3.776165177573986
doors_power,3.7179792794142963
N_doors,3.4402291942574337
max_prethodni,3.253455586506831
contract_age_months,3.221191140860042
Payment,3.216700354356439
client_age,3.0582191771615648
Year_matriculation,2.94394639226543
mean_prethodni,2.935579205403097
Type_risk,2.7603853469574524
ID,2.69729643279702
driving_exp_years,2.4425345922507127
Cylinder_capacity,2.278422735925229
car_age,2.179493674916783
R_Claims_history,1.912603004099146
Power,1.7539124117894263
value_decile,1.6963274702256734
mean_kroz_broj,1.6297372080995962
value_per_power,1.4996157537956996
Length_Power,1.400595160750581
Policies_in_force,1.3360853399652013
Seniority,1.2784898479029072
Second_driver,1.1987929824917285
days_to_lapse,1.1688175225246509
Weight,1.1204468771203409
broj_prethodnih_semplova,1.0367702946008468
N_claims_history,0.7915696803522864
Max_policies,0.726753681908943
Area,0.7125620259578936
Distribution_channel,0.6074714555214645
ima_prethodni,0.43003426746758433
Lapse,0.3582782596403864
